[GIN] 2025/08/05 - 14:35:27 | 400 |     260.773µs |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:27 | 403 |     513.286µs |       127.0.0.1 | PUT      "/api/v1/products/569"
[GIN] 2025/08/05 - 14:35:27 | 403 |     386.011µs |       127.0.0.1 | DELETE   "/api/v1/products/569"
[GIN] 2025/08/05 - 14:35:27 | 201 |   97.648202ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:27 | 201 |  158.253226ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:27 | 200 |    2.577777ms |       127.0.0.1 | GET      "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:27 | 403 |    1.224694ms |       127.0.0.1 | PUT      "/api/v1/warehouses/250"
[GIN] 2025/08/05 - 14:35:27 | 403 |    1.080338ms |       127.0.0.1 | DELETE   "/api/v1/warehouses/250"
[GIN] 2025/08/05 - 14:35:27 | 201 |  109.425456ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:27 | 201 |  281.456797ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:27 | 200 |    3.356137ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:27 | 200 |    3.011084ms |       127.0.0.1 | GET      "/api/v1/offers?filter=my"
[GIN] 2025/08/05 - 14:35:27 | 200 |    2.118038ms |       127.0.0.1 | GET      "/api/v1/offers?filter=others"
[GIN] 2025/08/05 - 14:35:27 | 200 |      2.1767ms |       127.0.0.1 | GET      "/api/v1/offers?filter=all"
[GIN] 2025/08/05 - 14:35:27 | 200 |    2.062218ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:27 | 200 |    1.882042ms |       127.0.0.1 | GET      "/api/v1/offers?filter=invalid"
[GIN] 2025/08/05 - 14:35:27 | 200 |    1.947521ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:35:27 | 403 |     446.279µs |       127.0.0.1 | PUT      "/api/v1/offers/450"
[GIN] 2025/08/05 - 14:35:27 | 403 |     385.563µs |       127.0.0.1 | DELETE   "/api/v1/offers/450"
[GIN] 2025/08/05 - 14:35:28 | 201 |  401.002405ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:28 | 200 |    3.001592ms |       127.0.0.1 | GET      "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.609558ms |       127.0.0.1 | GET      "/api/v1/orders/122"
[GIN] 2025/08/05 - 14:35:28 | 200 |   92.892009ms |       127.0.0.1 | PUT      "/api/v1/orders/122/status"
[GIN] 2025/08/05 - 14:35:28 | 200 |     2.97017ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:35:28 | 401 |      27.212µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:35:28 | 401 |     422.711µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:35:28 | 404 |     473.085µs |       127.0.0.1 | GET      "/api/v1/products/999999"
[GIN] 2025/08/05 - 14:35:28 | 404 |     865.949µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:28 | 400 |     911.034µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:28 | 400 |     778.691µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:28 | 201 |  166.562209ms |       127.0.0.1 | POST     "/api/v1/products/batch"
[GIN] 2025/08/05 - 14:35:28 | 201 |  215.608108ms |       127.0.0.1 | POST     "/api/v1/offers/batch"
[GIN] 2025/08/05 - 14:35:28 | 200 |   17.133391ms |       127.0.0.1 | GET      "/api/v1/offers/wb_stock?product_id=569&warehouse_id=250&supplier_id=42009"
[GIN] 2025/08/05 - 14:35:28 | 200 |     1.45326ms |       127.0.0.1 | GET      "/api/v1/offers/450"
[GIN] 2025/08/05 - 14:35:28 | 404 |       1.764µs |       127.0.0.1 | GET      "/api/v1/warehouses/250"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.232918ms |       127.0.0.1 | GET      "/api/v1/offers/450"
[GIN] 2025/08/05 - 14:35:28 | 200 |  144.246619ms |       127.0.0.1 | PUT      "/api/v1/offers/450"
[GIN] 2025/08/05 - 14:35:28 | 200 |    7.825318ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.765229ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.633862ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:35:28 | 200 |    3.946308ms |       127.0.0.1 | POST     "/api/v1/offers/public/filter"
[GIN] 2025/08/05 - 14:35:28 | 400 |     284.272µs |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:35:28 | 200 |      1.1135ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.725145ms |       127.0.0.1 | GET      "/api/v1/offers/public?price_min=100&price_max=300&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.629144ms |       127.0.0.1 | GET      "/api/v1/offers/public?product_name=тест&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.503731ms |       127.0.0.1 | GET      "/api/v1/offers/public?vendor_article=TEST&page=1&limit=5"
